1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.686515	0.000000	4.942766	0.009812	389.0
1	-0.659126	0.000000	4.942766	0.013477	0.5
2	-0.661422	0.000000	4.942766	0.008810	0.5
3	-0.676182	0.998775	4.718357	0.012615	0.5
4	-0.676308	1.793374	4.553871	0.007333	0.6
5	-0.645892	2.793343	4.362484	0.010454	0.5
6	-0.667082	3.792540	4.186666	0.011993	0.5
7	-0.663334	4.788002	4.025053	0.008623	0.5
8	-0.672245	5.787971	3.874802	0.010301	0.5
9	-0.651484	5.154105	3.968711	0.011106	0.5
10	-0.650882	6.153876	3.822588	0.018075	0.5
11	-0.678079	5.514180	3.914814	0.009844	0.5
12	-0.683797	6.514180	3.772530	0.012484	0.5
13	-0.645766	5.651134	3.894697	0.008618	0.5
14	-0.664874	6.648774	3.754166	0.012927	0.5
15	-0.641681	5.896312	3.859194	0.013841	0.5
16	-0.671882	4.930803	4.002887	0.011144	0.5
17	-0.685934	4.639200	4.048413	0.014635	0.5
18	-0.655639	3.677306	4.206216	0.019083	0.5
19	-0.669789	2.711797	4.377487	0.003674	0.5
20	-0.630907	1.975148	4.517842	0.011391	0.5
21	-0.642188	1.932856	4.526173	0.016354	0.5
22	-0.640495	0.967347	4.725108	0.006509	0.5
23	-0.662326	1.966921	4.519460	0.011540	0.5
24	-0.672265	1.131975	4.689960	0.017817	0.5
25	-0.670017	2.131891	4.487229	0.011393	0.5
26	-0.658871	1.166382	4.682680	0.021129	0.5
27	-0.670364	0.232127	4.888727	0.011342	0.5
28	-0.631012	1.214237	4.672593	0.007829	0.6
29	-0.665443	1.787352	4.555074	0.016316	0.5
30	-0.635675	0.845704	4.751418	0.005878	0.5
31	-0.648821	1.838222	4.544928	0.005666	0.5
32	-0.674448	2.506161	4.415782	0.005377	0.6
33	-0.655767	2.910524	4.341104	0.006251	0.6
34	-0.660433	3.752642	4.193414	0.010146	0.5
35	-0.676924	4.030525	4.146860	0.010999	0.5
36	-0.669958	5.005663	3.991365	0.009650	0.5
37	-0.663699	6.005077	3.843651	0.022629	0.5
38	-0.680307	6.841367	3.728196	0.013084	0.5
39	-0.681040	5.875858	3.862131	0.013930	0.5
40	-0.659463	6.875857	3.723583	0.007229	0.5
41	-0.648488	7.874845	3.594758	0.015026	0.5
42	-0.639372	7.192519	3.681760	0.014853	0.5
43	-0.642338	6.227010	3.812320	0.017128	0.5
44	-0.651049	7.227010	3.677261	0.013761	0.5
45	-0.654453	6.263365	3.807237	0.013502	0.5
46	-0.654827	7.263365	3.672531	0.013811	0.5
47	-0.661342	8.263365	3.547032	0.010281	0.5
48	-0.663940	9.263361	3.429827	0.009536	0.5
49	-0.653824	9.781833	3.372057	0.009384	0.5
50	-0.660289	8.919884	3.469201	0.012269	0.5
51	-0.664198	9.919869	3.357003	0.025580	0.5
52	-0.634656	10.919869	3.251833	0.008674	0.5
53	-0.693107	11.919869	3.153053	0.010228	0.5
54	-0.671853	11.063102	3.237306	0.007610	0.5
55	-0.632792	12.059993	3.139689	0.009880	0.5
56	-0.651454	11.095055	3.234083	0.011513	0.5
57	-0.676112	12.095052	3.136363	0.022317	0.5
58	-0.662544	11.129543	3.230612	0.007030	0.5
59	-0.673281	10.803414	3.263740	0.016124	0.5
60	-0.662539	11.801061	3.164473	0.018601	0.6
61	-0.675473	12.678116	3.082063	0.007802	0.5
62	-0.657981	11.713231	3.172969	0.012318	0.5
63	-0.658489	12.346065	3.112754	0.008161	0.5
64	-0.641944	12.339525	3.113364	0.005744	0.5
65	-0.670784	13.333529	3.023228	0.008123	0.5
66	-0.662122	13.893348	2.974724	0.017872	0.5
67	-0.653050	14.893348	2.891847	0.011015	0.5
68	-0.682698	15.891226	2.813625	0.012514	0.5
69	-0.632255	16.877003	2.740398	0.012887	0.5
