1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
70	-0.662649	17.877003	2.669910	0.006036	0.5
71	-0.665315	18.439469	2.631833	0.007917	0.5
72	-0.648522	18.358884	2.637221	0.010547	0.5
73	-0.636102	18.094932	2.655027	0.014000	0.5
74	-0.650892	17.129424	2.722257	0.021882	0.5
75	-0.678282	18.129424	2.652686	0.005946	0.5
76	-0.679676	17.929800	2.666289	0.024883	0.5
77	-0.666566	16.965121	2.734038	0.010498	0.5
78	-0.649650	17.965121	2.663872	0.003479	0.5
79	-0.664852	17.930622	2.666232	0.008420	0.5
80	-0.667475	18.367015	2.636677	0.008016	0.5
81	-0.652498	19.360625	2.571766	0.010112	0.5
82	-0.678446	18.846328	2.604960	0.012719	0.6
83	-0.658367	19.845885	2.541213	0.008376	0.5
84	-0.657136	20.835629	2.481093	0.008639	0.5
85	-0.668319	21.291963	2.454322	0.010655	0.5
86	-0.677523	21.740516	2.428564	0.019597	0.5
87	-0.663021	20.775007	2.484693	0.009910	0.5
88	-0.657171	21.775007	2.426606	0.016602	0.5
89	-0.648204	20.809498	2.482644	0.015290	0.5
90	-0.652955	19.843989	2.541331	0.017932	0.5
91	-0.668344	18.954272	2.597922	0.018379	0.5
92	-0.649963	17.988763	2.662256	0.019820	0.5
93	-0.658976	18.988763	2.595681	0.015286	0.5
94	-0.677627	18.023254	2.659903	0.010248	0.5
95	-0.632042	17.057745	2.727384	0.010913	0.5
96	-0.693533	16.797270	2.746179	0.012626	0.5
97	-0.685860	15.840946	2.817465	0.012721	0.5
98	-0.658088	16.840946	2.743010	0.009731	0.5
99	-0.665556	17.837289	2.672640	0.010571	0.5
100	-0.650228	16.970642	2.733640	0.016228	0.5
101	-0.638159	16.005207	2.804959	0.009211	0.5
102	-0.654268	15.039713	2.880103	0.017960	0.5
103	-0.670716	16.039710	2.802346	0.015060	0.5
104	-0.670779	17.039710	2.728677	0.010281	0.5
105	-0.642689	16.074445	2.799720	0.007319	0.5
106	-0.669724	16.335570	2.780139	0.023522	0.5
107	-0.677137	17.335562	2.707619	0.008979	0.5
108	-0.675811	16.370053	2.777574	0.013892	0.5
109	-0.670056	15.405928	2.851131	0.015818	0.5
110	-0.686588	14.447180	2.928247	0.009238	0.6
111	-0.677637	13.482456	3.010171	0.012844	0.7
112	-0.663722	12.803490	3.070632	0.008596	0.7
113	-0.667032	11.838005	3.160913	0.014590	0.7
114	-0.673813	10.873806	3.256532	0.009011	0.7
115	-0.681021	11.873771	3.157474	0.011813	0.7
116	-0.686719	12.873229	3.064310	0.018071	0.7
117	-0.668221	11.907720	3.154217	0.020016	0.7
118	-0.677553	12.907720	3.061193	0.012524	0.7
119	-0.685883	11.942211	3.150914	0.015900	0.5
120	-0.654266	12.905979	3.061350	0.016588	0.5
121	-0.680867	12.934213	3.058803	0.022997	0.5
122	-0.641231	13.934213	2.971244	0.013021	2.0
123	-0.646062	14.934207	2.888559	0.011783	0.5
124	-0.677969	15.901522	2.812840	0.010556	0.6
125	-0.648747	16.901358	2.738638	0.012429	0.5
126	-0.663695	15.976939	2.807103	0.011924	0.5
127	-0.666353	16.976846	2.733194	0.018376	0.5
128	-0.658956	16.156440	2.793542	0.009938	0.5
129	-0.659966	17.156440	2.720329	0.015716	0.5
130	-0.653194	18.154594	2.650981	0.008043	0.5
131	-0.663243	17.189832	2.717951	0.011291	0.5
132	-0.659371	18.188722	2.648672	0.013887	0.5
133	-0.646954	17.224304	2.715500	0.011302	0.5
134	-0.657190	18.224303	2.646270	0.012047	0.5
135	-0.644108	17.272998	2.712045	0.008457	0.5
136	-0.644656	16.307750	2.782212	0.026037	0.5
137	-0.652707	17.307749	2.709584	0.009865	0.5
138	-0.654134	18.307749	2.640652	0.011530	0.5
139	-0.680933	19.239338	2.579518	0.010501	0.5
140	-0.665054	18.273842	2.642932	0.012817	0.5
141	-0.665558	19.268733	2.577635	0.013566	0.5
142	-0.678692	18.303225	2.640956	0.017876	0.5
143	-0.665336	19.303225	2.575429	0.009101	0.5
144	-0.673875	20.303225	2.513075	0.012557	0.5
145	-0.656689	19.352002	2.572316	0.011079	0.5
146	-0.649952	18.386599	2.635365	0.005261	0.5
147	-0.661567	18.750064	2.611268	0.021445	0.5
148	-0.686130	17.784568	2.676273	0.013741	0.5
149	-0.657310	18.784568	2.609004	0.004891	0.5
150	-0.666804	18.555868	2.624088	0.005797	0.5
151	-0.660702	18.607232	2.620685	0.007119	0.5
152	-0.639196	18.074331	2.656426	0.008988	0.5
153	-0.673603	18.925456	2.599797	0.011256	0.5
154	-0.681164	17.988719	2.662259	0.015632	0.5
155	-0.642718	17.023235	2.729859	0.016236	0.5
156	-0.671599	17.440776	2.700208	0.016977	0.5
157	-0.664534	18.440776	2.631745	0.010056	0.5
158	-0.648606	19.279461	2.576948	0.017266	0.5
159	-0.653669	18.313964	2.640234	0.009188	0.5
160	-0.655448	17.348466	2.706708	0.012890	0.5
161	-0.661411	17.404715	2.702743	0.006878	0.5
162	-0.664665	18.399863	2.634478	0.007813	0.5
163	-0.663698	17.596775	2.689294	0.014141	0.5
164	-0.667103	18.596694	2.621383	0.013232	0.5
165	-0.655894	17.632804	2.686786	0.013270	0.5
166	-0.656576	18.632804	2.618994	0.017533	0.5
167	-0.649406	17.667295	2.684390	0.013556	0.5
168	-0.647185	18.667295	2.616717	0.015099	0.5
169	-0.650420	19.667295	2.552372	0.020193	0.5
170	-0.660884	18.701786	2.614444	0.014862	0.5
171	-0.650582	19.701786	2.550210	0.018225	0.5
172	-0.669865	20.691053	2.489697	0.011488	0.5
173	-0.663262	20.365258	2.509306	0.015719	0.5
174	-0.661713	21.365171	2.450081	0.014532	0.5
175	-0.657600	22.365060	2.393588	0.013926	0.5
176	-0.657744	23.364740	2.339653	0.016379	0.5
177	-0.668085	22.399231	2.391703	0.012621	0.5
178	-0.662510	21.434648	2.446069	0.014166	0.5
179	-0.639490	22.434363	2.389769	0.009622	0.5
180	-0.672503	23.434363	2.335987	0.013877	0.5
181	-0.675464	24.434362	2.284572	0.013298	0.5
182	-0.659078	24.356408	2.288499	0.010802	0.5
183	-0.641586	25.356395	2.239132	0.006672	0.5
184	-0.654402	26.330303	2.193058	0.006328	0.7
185	-0.651288	27.261261	2.150754	0.012139	0.5
186	-0.685617	28.048900	2.116216	0.011405	0.5
187	-0.667871	28.402327	2.101077	0.018916	0.5
188	-0.658850	27.436818	2.142958	0.010417	0.5
189	-0.644323	27.002709	2.162338	0.016805	0.5
190	-0.652717	28.002695	2.118212	0.012426	0.5
191	-0.672284	27.037220	2.160785	0.007333	0.6
192	-0.665049	26.071815	2.205100	0.004750	0.6
193	-0.650949	25.211652	2.246145	0.010490	0.5
194	-0.656000	25.542933	2.230158	0.015552	0.5
195	-0.665709	24.578168	2.277364	0.008570	0.5
196	-0.675592	25.573467	2.228696	0.015464	0.5
197	-0.661771	26.562670	2.182343	0.007691	0.5
198	-0.700918	25.605564	2.227161	0.015277	0.5
199	-0.638903	24.640056	2.274276	0.019692	0.5
200	-0.658705	24.424915	2.285047	0.009487	0.5
201	-0.654382	25.424915	2.235827	0.013487	0.5
202	-0.666697	26.423818	2.188733	0.008311	0.5
203	-0.638264	27.423736	2.143537	0.009387	0.5
204	-0.638112	26.458977	2.187112	0.017778	0.5
205	-0.636143	27.424620	2.143498	0.011182	0.5
206	-0.683418	26.459111	2.187106	0.019404	0.5
207	-0.660964	27.459097	2.141973	0.012147	0.6
208	-0.659805	26.493588	2.185518	0.009942	0.5
209	-0.656862	25.528193	2.230864	0.008191	0.5
210	-0.662336	24.563450	2.278100	0.008788	0.5
211	-0.642651	23.599026	2.327362	0.007477	2.1
212	-0.661682	22.713895	2.374487	0.006738	0.5
213	-0.672025	23.528683	2.331039	0.014727	0.5
214	-0.657431	24.514475	2.280551	0.014960	0.6
215	-0.649207	23.548966	2.329977	0.011578	0.6
216	-0.663737	22.583457	2.381594	0.011487	0.5
217	-0.682924	21.617987	2.435546	0.014632	0.5
218	-0.681644	22.617986	2.379708	0.013265	0.5
219	-0.661114	21.652477	2.433577	0.016211	0.5
220	-0.681302	22.652477	2.377828	0.015331	0.5
221	-0.652819	23.652477	2.324576	0.009542	0.5
222	-0.660256	22.687252	2.375935	0.017716	0.6
223	-0.672710	21.792426	2.425618	0.014240	0.6
224	-0.656684	22.792426	2.370229	0.008677	0.5
225	-0.663869	22.288360	2.397829	0.004176	0.5
226	-0.676487	22.064794	2.410277	0.006533	0.5
227	-0.660533	21.287252	2.454595	0.005670	0.5
228	-0.666030	20.418971	2.506052	0.013902	0.5
229	-0.675321	21.020437	2.470181	0.010025	0.5
230	-0.681828	21.847654	2.422492	0.011450	0.5
231	-0.650412	21.072986	2.467096	0.015547	0.5
232	-0.658616	20.107477	2.525041	0.006448	0.5
233	-0.687256	20.474007	2.502726	0.006574	0.5
234	-0.666867	21.189903	2.460259	0.009135	0.6
235	-0.655175	21.386824	2.448829	0.012189	0.5
236	-0.655971	22.385677	2.392450	0.012813	0.5
237	-0.667151	23.385677	2.338549	0.013749	0.5
238	-0.656562	24.385677	2.287023	0.012006	0.5
239	-0.656156	25.385498	2.237727	0.015474	0.5
240	-0.635388	26.385498	2.190503	0.011135	0.5
241	-0.658932	25.924397	2.212028	0.012596	0.5
242	-0.655847	24.960635	2.258413	0.007552	0.5
243	-0.646510	25.867029	2.214736	0.009266	0.5
244	-0.649888	26.845710	2.169433	0.009319	0.5
245	-0.662021	26.818330	2.170676	0.008056	0.5
246	-0.668919	27.816710	2.126282	0.015288	0.5
247	-0.670407	28.816708	2.083600	0.006988	0.5
248	-0.653406	29.765855	2.044644	0.010274	0.5
249	-0.660972	29.696969	2.047422	0.011121	0.5
