1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.568174	0.000000	25.277843	0.011102	23.9
1	-0.566896	0.000000	25.277843	0.020964	0.5
2	-0.589344	0.000000	25.277843	0.008561	0.5
3	-0.603234	0.000000	25.277843	0.013688	0.5
4	-0.586120	0.000000	25.277843	0.014732	0.5
5	-0.599675	0.000000	25.277843	0.005122	0.5
6	-0.586652	0.000000	25.277843	0.010095	0.5
7	-0.606863	0.000000	25.277843	0.011322	0.5
8	-0.613464	0.000000	25.277843	0.012604	0.5
9	-0.617823	0.000000	25.277843	0.008877	0.4
10	-0.611029	0.000000	25.277843	0.016729	0.5
11	-0.631243	0.000000	25.277843	0.012744	0.5
12	-0.614239	0.000000	25.277843	0.005850	0.5
13	-0.625440	0.000000	25.277843	0.014355	0.5
14	-0.619907	0.000000	25.277843	0.012795	0.6
15	-0.633668	0.000000	25.277843	0.008546	0.5
16	-0.613709	0.000000	25.277843	0.010750	0.5
17	-0.622574	0.000000	25.277843	0.015633	0.5
18	-0.649081	0.000000	25.277843	0.011833	0.5
19	-0.637460	0.000000	25.277843	0.019020	0.5
20	-0.654211	0.000000	25.277843	0.019122	0.5
21	-0.668776	0.000000	25.277843	0.016360	0.5
22	-0.673674	0.000000	25.277843	0.014812	0.5
23	-0.668220	0.000000	25.277843	0.021397	0.5
24	-0.680668	0.000000	25.277843	0.011688	0.5
25	-0.680835	0.000000	25.277843	0.015468	0.5
26	-0.679014	0.000000	25.277843	0.015667	0.5
27	-0.693843	0.000000	25.277843	0.006582	0.5
28	-0.689642	0.000000	25.277843	0.012085	0.5
29	-0.699125	0.000000	25.277843	0.011982	0.5
30	-0.692665	0.000000	25.277843	0.015240	0.5
31	-0.697715	0.000000	25.277843	0.022644	0.5
32	-0.718922	0.000000	25.277843	0.012651	0.4
33	-0.725503	0.000000	25.277843	0.016277	0.5
34	-0.721121	0.000000	25.277843	0.013740	0.5
35	-0.731577	0.000000	25.277843	0.012200	0.5
36	-0.728825	0.000000	25.277843	0.013811	0.5
37	-0.731242	0.000000	25.277843	0.016002	0.5
38	-0.734530	0.000000	25.277843	0.009702	0.4
39	-0.733889	0.000000	25.277843	0.010159	0.4
40	-0.749977	0.000000	25.277843	0.009467	0.5
41	-0.762914	0.000000	25.277843	0.009509	0.5
42	-0.742308	0.700508	24.461856	0.005638	0.5
43	-0.744788	0.572077	24.607492	0.008084	0.4
44	-0.734969	0.443646	24.754872	0.006459	0.4
45	-0.769695	0.315215	24.904028	0.006759	0.5
46	-0.739636	0.186784	25.054992	0.006846	0.4
47	-0.751479	0.058353	25.207798	0.010134	0.4
48	-0.755956	0.000000	25.277843	0.009563	0.5
49	-0.762069	0.000000	25.277843	0.006025	0.5
50	-0.748690	0.000000	25.277843	0.007511	0.5
51	-0.746811	0.000000	25.277843	0.006668	0.6
52	-0.751015	0.000000	25.277843	0.005236	2.1
53	-0.742686	0.000000	25.277843	0.007476	0.5
54	-0.755152	0.996177	24.133044	0.005852	0.5
55	-0.731714	0.867746	24.274779	0.006940	0.5
56	-0.757691	1.739168	23.344509	0.004987	0.5
57	-0.753404	1.610941	23.476895	0.004722	0.5
58	-0.751401	1.494553	23.598366	0.005165	0.5
59	-0.752475	2.491825	22.596572	0.004803	0.5
60	-0.756082	2.411084	22.674504	0.003774	0.5
61	-0.744865	3.304828	21.840711	0.004615	0.5
62	-0.729163	3.185940	21.948070	0.009330	0.5
63	-0.751044	3.057511	22.065238	0.005454	0.5
64	-0.734405	2.929080	22.183666	0.011038	0.6
65	-0.776945	2.800649	22.303371	0.005991	0.6
66	-0.749934	2.672218	22.424375	0.007609	0.6
67	-0.734948	2.543787	22.546700	0.006721	0.5
68	-0.745139	3.543787	21.628068	0.002960	0.5
69	-0.749314	3.416283	21.741012	0.004784	0.5
70	-0.735977	3.288043	21.855804	0.007699	0.5
71	-0.754786	3.159612	21.971988	0.007340	0.5
72	-0.743932	3.066097	22.057366	0.014754	0.5
73	-0.739616	2.937666	22.175709	0.010289	0.5
74	-0.744767	2.809235	22.295328	0.005301	0.5
75	-0.756416	2.680804	22.416245	0.010194	0.5
76	-0.753362	2.552373	22.538481	0.010590	0.5
77	-0.753040	2.423942	22.662057	0.006956	0.5
78	-0.771810	2.295511	22.786996	0.005702	0.5
79	-0.765099	2.174144	22.906334	0.004791	0.5
80	-0.753738	2.059017	23.020700	0.006113	0.4
81	-0.744850	1.932991	23.147208	0.006272	0.5
82	-0.738781	1.804560	23.277568	0.014298	0.4
83	-0.766315	2.571990	22.519724	0.006403	0.4
84	-0.762158	3.207232	21.928765	0.007502	0.5
85	-0.759361	3.078801	22.045728	0.008269	0.5
86	-0.761451	2.950370	22.163946	0.009708	0.4
87	-0.759568	3.950063	21.275886	0.004048	0.5
88	-0.775693	4.950063	20.456008	0.007142	0.4
