1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
148	-0.706679	17.676985	11.134651	0.007624	0.7
149	-0.694877	18.676781	10.854074	0.007220	0.7
150	-0.689054	19.676781	10.587237	0.011110	0.7
151	-0.694379	20.671228	10.334582	0.007968	0.7
152	-0.696058	21.671228	10.092391	0.008864	0.7
153	-0.682116	22.670380	9.861484	0.014644	0.7
154	-0.706206	23.670380	9.640722	0.006160	0.7
155	-0.705492	24.669386	9.429834	0.005036	0.7
156	-0.694151	24.933107	9.375694	0.006275	0.7
157	-0.703567	24.150296	9.538248	0.008700	0.7
158	-0.693614	23.375671	9.704749	0.004837	0.7
159	-0.686566	22.973137	9.793587	0.011697	0.7
160	-0.693078	23.954587	9.579773	0.007111	0.7
161	-0.717798	23.846696	9.602820	0.005208	0.9
162	-0.714376	24.644465	9.434983	0.009264	0.7
163	-0.701291	25.634546	9.234672	0.011812	0.7
164	-0.698770	26.634546	9.040807	0.018102	0.7
165	-0.697758	25.850758	9.192055	0.011291	0.7
166	-0.703388	26.850758	8.999956	0.019091	0.7
167	-0.702721	26.066969	9.149829	0.011893	0.7
168	-0.729119	26.238664	9.116573	0.017217	0.7
169	-0.696262	25.454875	9.270388	0.008218	0.7
170	-0.696824	24.671087	9.429483	0.008744	0.7
171	-0.699405	23.887299	9.594133	0.005514	0.7
172	-0.706524	23.103532	9.764631	0.007886	0.7
173	-0.718742	24.102558	9.548344	0.004894	0.7
174	-0.702856	23.319428	9.717064	0.007598	0.7
175	-0.702084	24.317908	9.502970	0.008929	0.7
176	-0.712495	23.574574	9.661444	0.003329	0.7
177	-0.701007	24.495990	9.465774	0.010166	0.7
178	-0.711101	24.752688	9.412665	0.004744	0.7
179	-0.680007	25.320351	9.297312	0.006846	0.9
180	-0.708746	26.307223	9.103361	0.005551	0.7
181	-0.701765	27.307149	8.914928	0.011904	0.7
182	-0.712371	28.263014	8.741949	0.011849	0.7
183	-0.711890	27.479334	8.883264	0.006833	0.7
184	-0.688504	28.479277	8.703739	0.010231	0.7
185	-0.728694	27.999025	8.789047	0.007330	0.7
186	-0.711261	27.215237	8.931922	0.006659	0.7
187	-0.714055	28.078683	8.774782	0.018752	0.7
188	-0.697578	29.058387	8.603049	0.009461	0.7
189	-0.706099	30.058387	8.434554	0.013196	0.7
190	-0.726477	29.274599	8.566050	0.008891	0.7
191	-0.693039	28.490811	8.701711	0.006478	0.7
192	-0.704854	27.865731	8.813022	0.013759	0.7
193	-0.707329	27.085386	8.956042	0.006732	0.7
194	-0.685609	28.085386	8.773584	0.012082	0.7
195	-0.709195	27.301598	8.915952	0.004565	0.7
196	-0.690158	26.517811	9.063017	0.012128	0.7
197	-0.721860	27.507507	8.878105	0.011548	0.7
198	-0.716219	26.723741	9.023910	0.005837	0.7
199	-0.713186	26.076832	9.147912	0.008797	0.7
200	-0.713929	26.855468	8.999071	0.008680	0.7
201	-0.703814	26.071682	9.148913	0.003820	0.7
202	-0.716814	25.331084	9.295158	0.009928	0.7
203	-0.719406	26.247073	9.114951	0.008166	0.7
204	-0.703743	27.247067	8.926029	0.004435	0.7
205	-0.705046	26.463581	9.073372	0.011466	0.7
206	-0.698436	25.679793	9.225721	0.007949	0.7
207	-0.703961	26.679788	9.032228	0.011212	0.7
208	-0.711453	27.664148	8.849528	0.005533	0.7
209	-0.712457	26.886149	8.993305	0.007723	0.7
210	-0.707203	26.193266	9.125343	0.003970	0.7
211	-0.707238	26.904809	8.989802	0.011796	0.7
212	-0.720883	27.853776	8.815178	0.009567	0.7
213	-0.704887	28.853776	8.638357	0.013960	0.7
214	-0.721957	29.853776	8.468491	0.007752	0.7
215	-0.735557	30.853776	8.305176	0.006773	0.7
216	-0.723375	30.869814	8.302608	0.006066	0.7
217	-0.699596	30.086160	8.429969	0.009622	0.7
218	-0.704698	29.304695	8.560925	0.011127	0.7
219	-0.702791	30.304695	8.394061	0.006020	0.7
220	-0.711285	29.738104	8.487797	0.002993	0.7
221	-0.705175	29.091536	8.597355	0.014096	1.4
222	-0.692460	30.091515	8.429085	0.007187	0.7
223	-0.683345	31.091515	8.267272	0.017010	0.8
224	-0.692191	32.091515	8.111555	0.011586	0.7
225	-0.700032	31.307782	8.233091	0.011801	0.7
226	-0.707863	30.523994	8.358334	0.007654	0.7
227	-0.728433	31.523994	8.199200	0.006836	0.7
228	-0.716360	31.030412	8.276981	0.007987	0.7
229	-0.696492	32.010967	8.123880	0.007601	0.8
230	-0.701902	33.005580	7.974264	0.012565	0.7
231	-0.692461	32.221791	8.091699	0.008770	0.7
232	-0.706427	33.221791	7.942466	0.009938	0.7
233	-0.718422	34.221791	7.798638	0.015670	0.7
234	-0.719534	33.438003	7.910921	0.008012	0.7
235	-0.713890	34.438003	7.768222	0.007875	0.7
236	-0.695556	35.204656	7.662261	0.007080	0.7
237	-0.711335	36.201421	7.528742	0.005714	0.7
238	-0.695292	37.201350	7.399394	0.007619	0.7
239	-0.727045	38.180847	7.276928	0.004075	0.5
240	-0.695150	37.493419	7.362448	0.010246	0.5
241	-0.710341	38.476916	7.240704	0.006919	0.5
242	-0.708942	37.693139	7.337395	0.007442	0.5
243	-0.689552	36.914461	7.436048	0.010537	0.5
244	-0.682980	36.130673	7.538065	0.014296	0.5
245	-0.714700	35.346885	7.642920	0.007887	0.5
246	-0.709888	34.563096	7.750733	0.016539	0.5
247	-0.696384	33.779308	7.861632	0.008861	0.5
248	-0.721012	34.779308	7.720690	0.005317	0.5
249	-0.741669	34.020559	7.827160	0.009461	0.5
