1:ItNr	2:Metric	2:Metric0	2:Metric1	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient||	Time0[ms]	Time1[ms]	Time[ms]
378	-0.626853	-0.626879	0.000086	2.898466	707.798675	0.004572	0.000006	0.004572	8.1	9.6	19.2
379	-0.601770	-0.601793	0.000077	3.898466	679.371274	0.004074	0.000005	0.004074	7.9	15.9	25.7
380	-0.628835	-0.628862	0.000089	2.927783	706.931461	0.004255	0.000006	0.004255	8.9	11.0	21.7
381	-0.620888	-0.620914	0.000086	1.957100	736.822275	0.004417	0.000006	0.004417	11.5	12.6	28.6
382	-0.610282	-0.610308	0.000087	2.907986	707.516837	0.006252	0.000006	0.006252	8.3	9.8	20.7
383	-0.633869	-0.633893	0.000082	1.937303	737.458220	0.004098	0.000006	0.004098	12.7	15.6	32.6
384	-0.631392	-0.631420	0.000094	0.968526	769.978940	0.004136	0.000006	0.004136	8.0	16.9	31.8
385	-0.621735	-0.621763	0.000091	0.026362	804.480699	0.003526	0.000006	0.003526	8.1	8.1	17.7
386	-0.619560	-0.619588	0.000094	0.000000	805.490601	0.003139	0.000006	0.003139	8.8	18.5	30.3
387	-0.631278	-0.631305	0.000091	0.000000	805.490601	0.004064	0.000006	0.004064	8.8	13.3	27.5
388	-0.633678	-0.633704	0.000085	0.000000	805.490601	0.003484	0.000006	0.003484	10.8	10.7	23.5
389	-0.640581	-0.640607	0.000088	0.000000	805.490601	0.003506	0.000006	0.003506	8.3	20.7	30.7
390	-0.603932	-0.603958	0.000086	0.999996	768.877522	0.003251	0.000006	0.003251	18.4	13.2	33.2
391	-0.625210	-0.625235	0.000084	0.029313	804.367810	0.005308	0.000006	0.005308	7.6	7.8	17.0
392	-0.620813	-0.620842	0.000099	0.000000	805.490601	0.005069	0.000006	0.005068	9.5	11.1	22.5
393	-0.625929	-0.625956	0.000090	0.972702	769.832609	0.004035	0.000006	0.004035	9.1	24.8	35.9
394	-0.610410	-0.610438	0.000093	1.895268	738.812170	0.004084	0.000006	0.004084	23.8	9.8	35.8
395	-0.638182	-0.638208	0.000084	0.924587	771.522077	0.003437	0.000006	0.003437	9.1	17.0	28.3
396	-0.613241	-0.613268	0.000090	0.000000	805.490601	0.003958	0.000006	0.003958	7.7	9.0	18.8
397	-0.619976	-0.620001	0.000086	0.000000	805.490601	0.004379	0.000006	0.004379	7.7	8.0	17.2
398	-0.628516	-0.628543	0.000089	0.000000	805.490601	0.003464	0.000006	0.003463	8.4	9.2	19.0
399	-0.610122	-0.610149	0.000092	0.000000	805.490601	0.003838	0.000006	0.003838	7.8	8.3	17.5
400	-0.614939	-0.614966	0.000090	0.000000	805.490601	0.004355	0.000006	0.004355	8.6	8.6	18.8
401	-0.644718	-0.644747	0.000096	0.000000	805.490601	0.004775	0.000006	0.004775	8.1	8.5	18.3
402	-0.640900	-0.640926	0.000086	0.000000	805.490601	0.003884	0.000006	0.003884	8.7	8.2	19.2
403	-0.630266	-0.630294	0.000093	0.000000	805.490601	0.004330	0.000006	0.004329	10.3	24.5	36.7
404	-0.617621	-0.617650	0.000097	1.000000	768.877392	0.003618	0.000006	0.003618	21.1	7.9	30.7
405	-0.626900	-0.626928	0.000096	0.029320	804.367565	0.004684	0.000006	0.004684	8.2	9.6	19.5
406	-0.622568	-0.622597	0.000095	1.029318	767.854133	0.005369	0.000006	0.005368	7.5	7.9	16.7
407	-0.617876	-0.617904	0.000093	0.058635	803.247834	0.003256	0.000006	0.003256	9.5	9.5	20.9
408	-0.611526	-0.611555	0.000097	0.000000	805.490601	0.004077	0.000006	0.004077	26.2	16.2	44.3
